gvkey,conm,tic,cusip,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
002968,JPMORGAN CHASE & CO,JPM,46625H100,P,01,LC,47896,20436,19690305,E
002987,CHESEBROUGH-POND'S INC,CBM.4,165339102,P,01,LU,28505,23546,19620523,19870130
002989,CHESSIE SYSTEM INC,CO.2,165496100,P,01,LU,11156,22252,19620131,19801031
002991,CHEVRON CORP,CVX,166764100,P,01,LU,14541,20440,19620131,E
002991,CHEVRON CORP,CVX,166764100,C,00X,LU,14541,20440,19500101,19620130
002994,CHICAGO MILWAUKEE CORP,CHG.1,167763101,P,01,LC,54009,20441,19720125,19930630
002994,CHICAGO MILWAUKEE CORP,CHG.1,167763101,P,01,LC,22402,23142,19690101,19720124
002998,CHICAGO PNEUMATIC TOOL CO,CGG.1,167898105,C,00X,LU,11164,22253,19500101,19620130
002998,CHICAGO PNEUMATIC TOOL CO,CGG.1,167898105,P,01,LU,11164,22253,19620131,19861231
003011,CHIRON CORP,CHIR,170040109,P,01,LU,23318,6249,19830802,20060428
003015,CHRIS-CRAFT INDS,CCN.2,170520100,C,00X,LU,21282,20444,19500101,19620130
003015,CHRIS-CRAFT INDS,CCN.2,170520100,P,01,LU,21282,20444,19620131,20010731
003022,CHRYSLER CORP,C.3,171196108,C,00X,LU,11260,20446,19500101,19620130
003022,CHRYSLER CORP,C.3,171196108,P,01,LU,11260,20446,19620131,19981130
003024,CHUBB CORP,CB.1,171232101,P,01,LC,59192,900,19740131,20160129
003026,CHURCH & DWIGHT INC,CHD,171340102,P,01,LU,23393,1103,19761230,E
003030,CHURCH'S FRIED CHICKEN INC,CHU.1,171583107,P,01,LC,59205,901,19721214,19890921
003041,MILACRON INC,MZIAQ,598709301,P,01,LC,22680,20450,19620131,20080523
003041,MILACRON INC,MZIAQ,598709301,C,00X,LC,22680,20450,19500101,19620130
003054,CIRCUIT CITY STORES INC,CCTYQ,172737108,P,01,LC,47175,20453,19681118,20081107
003062,CINTAS CORP,CTAS,172908105,P,01,LC,23660,6304,19830819,E
003066,CITICORP,3614B,17399Z931,P,01,LC,47079,20456,19681101,19981007
003067,CITIES SERVICE CO,OXY1,173036005,C,00X,LU,24571,23280,19510331,19620130
003067,CITIES SERVICE CO,OXY1,173036005,P,01,LU,24571,23280,19620131,19821202
003091,CLARK EQUIPMENT CO,CKL,181396102,P,01,LC,18446,20460,19620131,19950525
003091,CLARK EQUIPMENT CO,CKL,181396102,C,00X,LC,18446,20460,19500101,19620130
003105,IHEARTMEDIA INC,IHRT,45174J103,P,01,LC,24046,6996,19840419,20080730
003107,CLEVELAND-CLIFFS INC,CLF,185899101,P,01,LC,27422,20462,19620131,E
003121,CLOROX CO/DE,CLX,189054109,P,01,LU,46578,20463,19680801,E
003125,CLUETT PEABODY & CO,CLU.2,189486103,P,01,LU,11295,22265,19620131,19860131
003125,CLUETT PEABODY & CO,CLU.2,189486103,C,00X,LC,11295,22265,19500101,19620130
003130,EL PASO CGP CO,EP2,28335P002,C,01,LU,38893,20466,19650129,20010131
003142,COCA-COLA BOTTLING CO OF NY,KNY.1,191162106,P,01,LC,27510,23482,19620131,19810827
003144,COCA-COLA CO,KO,191216100,P,01,LU,11308,20468,19620131,E
003144,COCA-COLA CO,KO,191216100,C,00X,LU,11308,20468,19500101,19620130
003167,COLEMAN CO INC  -OLD,6057B,193558103,P,01,LC,39140,24364,19630430,19890420
003170,COLGATE-PALMOLIVE CO,CL,194162103,C,00X,LU,18729,20473,19500101,19620130
003170,COLGATE-PALMOLIVE CO,CL,194162103,P,01,LU,18729,20473,19620131,E
003176,COLLINS & AIKMAN CORP  -OLD,CR.1,194828109,C,00X,LU,15712,22628,19500301,19620130
003176,COLLINS & AIKMAN CORP  -OLD,CR.1,194828109,P,01,LU,15712,22628,19620131,19870130
003200,COLTEC INDUSTRIES,COT.2,196879100,C,02,LC,11332,22269,19640528,19880610
003200,COLTEC INDUSTRIES,COT.2,196879100,C,02,LC,77473,29451,19920325,19990712
003206,COLUMBIA ENERGY GROUP,NI2,197648009,P,01,LC,11340,20478,19620131,20001101
003208,COLUMBIA PICTURES INDS,CPS.3,198279101,P,01,LC,19297,22910,19650129,19820531
003208,COLUMBIA PICTURES INDS,CPS.3,198279101,C,00X,LC,19297,22910,19490701,19650128
003221,AON PLC,AON,G0408V102,P,01,LC,61735,20203,19800602,E
003221,AON PLC,AON,G0408V102,P,01,LC,24986,23306,19721214,19800530
003224,COMBUSTION ENGINEERING INC,CSP.2,200273100,P,01,LU,18999,22886,19620131,19900228
003224,COMBUSTION ENGINEERING INC,CSP.2,200273100,C,00X,LU,18999,22886,19500101,19620130
003226,COMCAST CORP,CMCSA,20030N101,P,01,LC,25022,962,19740131,19931130
003226,COMCAST CORP,CMCSA,20030N101,P,01,LC,89525,43613,20021119,E
003226,COMCAST CORP,CMCSA,20030N101,P,01,LC,25022,962,20021101,20021118
003226,COMCAST CORP,CMCSA,20030N101,J,01,LC,25022,962,19931201,20021031
003226,COMCAST CORP,CMCSA,20030N101,C,00X,LC,25022,962,19740101,19740130
003226,COMCAST CORP,CMCSA,20030N101,J,02,LC,89565,43613,20021119,20160129
003226,COMCAST CORP,CMCSA,20030N101,P,02,LC,11997,962,19931201,20021031
003226,COMCAST CORP,CMCSA,20030N101,J,02,LC,11997,962,20021101,20021118
003226,COMCAST CORP,CMCSA,20030N101,N,02,LC,11997,962,19861224,19931130
003231,COMERICA INC,CMA,200340107,P,01,LC,25081,1261,19721214,E
003243,CITIGROUP INC,C,172967424,P,01,LC,70519,20483,19861029,E
003255,UNICOM CORP,UCM.2,904911104,P,01,LC,20853,20486,19620131,20001020
003276,TRANSITIONAL HOSPITALS CP,THY,893719104,P,01,LU,53401,20491,19711015,19970829
003278,AVIS BUDGET GROUP INC,CAR,053774105,P,01,LC,25487,6391,19830914,E
003282,COMPAQ COMPUTER CORP,CPQ.2,204493100,P,01,LU,68347,6680,19831209,20020531
003310,CA INC,CA,12673P105,P,01,LC,25778,5220,19811215,E
003336,DXC TECHNOLOGY COMPANY,DXC,23355L106,P,01,LC,40125,20493,19640430,E
003352,COMPUTERVISION CORP  -OLD,CVN.4,205578107,P,01,LU,60900,1208,19721229,19880229
003362,CONAGRA BRANDS INC,CAG,205887102,C,01,LC,56274,20495,19721214,E
003373,CONCORD EFS INC,CE.2,206197105,P,01,LU,26332,7099,19840621,20040227
003398,CONOCO INC-OLD,CLL.2,20899Z104,P,01,LU,11471,22281,19620131,19810930
003398,CONOCO INC-OLD,CLL.2,20899Z104,C,00X,LU,11471,22281,19500101,19620130
003413,CONSOLIDATED EDISON INC,ED,209115104,P,01,LU,11404,20499,19620131,E
003413,CONSOLIDATED EDISON INC,ED,209115104,C,00X,LU,11404,20499,19510101,19620130
003416,CON-WAY INC,CNW,205944101,P,01,LU,41929,20501,19650505,20151030
003419,CONSOLIDATED NATURAL GAS CO,D2,209615004,P,01,LC,21821,20502,19620131,20000128
003426,CONRAIL INC,CRR.3,208368100,P,01,LU,71765,20504,19870326,19970630
003439,CMS ENERGY CORP,CMS,125896100,J,02,LU,81770,20361,19950721,19991029
003439,CMS ENERGY CORP,CMS,125896100,P,01,LC,23229,20361,19620131,E
003439,CMS ENERGY CORP,CMS,125896100,C,00X,LC,23229,20361,19510101,19620130
003459,CONTINENTAL CORP,CIC.3,211327101,P,01,LU,46658,20509,19710129,19950531
003459,CONTINENTAL CORP,CIC.3,211327101,C,00X,LC,46658,20509,19710101,19710128
003460,CONTINENTAL GROUP INC,CCC.6,211452107,P,01,LC,11447,22278,19620131,19841031
003460,CONTINENTAL GROUP INC,CCC.6,211452107,C,00X,LC,11447,22278,19500101,19620130
003463,CONTINENTAL BANK CORP,CBK.2,211113105,P,01,LU,57250,20511,19730910,19940831
003466,CONTINENTAL MTG INVESTORS,CMI.2,211687108,C,01,LU,42091,24589,19650614,19750723
003470,CONTINENTAL STEEL CORP-DEL,CSCSQ,212072102,C,01,LU,15915,3616,19620131,19860224
003470,CONTINENTAL STEEL CORP-DEL,CSCSQ,212072102,C,00X,LU,15915,3616,19500101,19620130
003473,CONTEL CORP,CTC.1,210902102,P,01,LU,39335,20508,19640630,19910328
003480,CERIDIAN CORP,4622B,15699X929,P,01,LC,38914,20514,19630306,20071108
003491,BLOCKBUSTER ENMNT CORP,BV.2,093676104,P,01,LC,27087,5789,19830201,19940929
003497,COOPER INDUSTRIES PLC,CBE,G24140108,P,01,LC,21979,20517,19620131,E
003502,COOPER TIRE & RUBBER CO,CTB,216831107,P,01,LU,27430,20518,19620131,E
003504,COOPER COMPANIES INC,COO,216648402,P,01,LU,65541,5780,19830121,E
003505,MOLSON COORS BREWING CO,TAP,60871R209,J,02,LC,90562,33,20050209,E
003505,MOLSON COORS BREWING CO,TAP,60871R209,P,01,LC,59248,33,19750612,E
003506,COPELAND CORP,CRF.3,217210103,P,01,LU,27342,23471,19620131,19810731
003511,COPPER RANGE CO,CPX.1,217525104,C,00X,LU,23894,23244,19500101,19620227
003511,COPPER RANGE CO,CPX.1,217525104,P,01,LU,23894,23244,19620228,19770531
003527,CORESTATES FINANCIAL CORP,CFL.1,218695104,P,01,LU,27263,3552,19721214,19980430
003532,CORNING INC,GLW,219350105,P,01,LU,22293,20523,19620131,E
003532,CORNING INC,GLW,219350105,C,00X,LU,22293,20523,19500101,19620130
003535,CORONET INDUSTRIES INC,CID.3,219831104,P,01,LU,40432,24461,19640421,19710226
003542,CORROON & BLACK CORP,CBL.1,220291108,P,01,LU,30912,20525,19620702,19901008
003555,COUNTRYWIDE FINANCIAL CORP,CFC.3,222372104,P,01,LC,64565,796,19790312,20080630
003568,COX COMMUNICATIONS INC -OLD,COX.,224043109,P,01,LU,40854,24490,19640717,19850930
003580,CRANE CO,CR,224399105,P,01,LU,20204,20531,19620131,E
003580,CRANE CO,CR,224399105,C,00X,LU,20204,20531,19500101,19620130
003586,CRAY RESEARCH,CYR.1,225224104,P,01,LC,62164,1101,19760317,19960628
003593,CREDITHRIFT FINANCIAL-OLD,CRD.2,225419100,P,01,LU,49592,25074,19691201,19820226
003610,CROSS & TRECKER CORP,CTCO.1,227430105,P,01,LC,27749,1170,19790209,19911129
003613,CROUSE-HINDS CO,CHI.1,227813102,P,01,LU,43502,24691,19660713,19810529
003619,CROWN HOLDINGS INC,CCK,228368106,P,01,LU,17726,20537,19620131,E
003619,CROWN HOLDINGS INC,CCK,228368106,C,00X,LU,17726,20537,19500101,19620130
003627,CROWN ZELLERBACH,FJ1,228669008,P,01,LU,17128,22747,19620131,19861030
003627,CROWN ZELLERBACH,FJ1,228669008,C,00X,LU,17128,22747,19500101,19620130
003641,CUDAHY CO,CUDH,229741103,C,01,LC,11543,22287,19660131,19710730
003641,CUDAHY CO,CUDH,229741103,C,00X,LC,11543,22287,19491101,19660130
003642,CULBRO CORP,CBO.2,229890108,P,01,LC,12044,20542,19620131,19970829
003642,CULBRO CORP,CBO.2,229890108,C,00X,LC,12044,20542,19500101,19620130
003645,CULLINET SOFTWARE INC,CUL.2,230032104,P,01,LU,64207,1195,19780802,19890929
003650,CUMMINS INC,CMI,231021106,P,01,LU,41080,20543,19640910,E
003662,CURTISS-WRIGHT CORP,CW,231561101,N,02,LC,89223,20546,20011106,20050524
003662,CURTISS-WRIGHT CORP,CW,231561101,P,01,LC,18091,20546,19620131,E
003670,CUTLER-HAMMER INC,CH.3,232165100,P,01,LC,16758,22714,19620131,19781231
003670,CUTLER-HAMMER INC,CH.3,232165100,C,00X,LC,16758,22714,19500101,19620130
003680,CYPRUS MINES CORP,CYM.2,232813105,P,01,LU,42657,24627,19651115,19790928
003705,DSC COMMUNICATIONS CORP,DIGI.1,233311109,P,01,LU,30067,1310,19820129,19980930
003705,DSC COMMUNICATIONS CORP,DIGI.1,233311109,C,00X,LC,30067,1310,19820101,19820128
003733,DAN RIVER INC  -OLD,DML.1,23577Y100,P,01,LU,25689,23352,19620131,19830531
003734,DANA INC,DAN,235825205,P,02,LC,92570,52956,20080201,E
003734,DANA INC,DAN,235825205,P,01,LC,11607,20556,19620131,20060303
003735,DANAHER CORP,DHR,235851102,P,01,LC,49680,20557,19700130,E
003735,DANAHER CORP,DHR,235851102,C,00X,LC,49680,20557,19700101,19700129
003746,KRAFT GENERAL FOODS,MO3,500902002,P,02,LC,12730,22378,19620131,19800925
003746,KRAFT GENERAL FOODS,MO3,500902002,P,02,LC,61970,25685,19800926,19881207
003746,KRAFT GENERAL FOODS,MO3,500902002,C,00X,LC,12730,22378,19500101,19620130
003760,DATA GENERAL CORP,DGN.,237688106,P,01,LU,57592,20559,19721214,19991029
003782,CATTLESALE CO,CTLE.,149479107,P,01,LU,59707,1249,19721214,19980821
003813,TARGET CORP,TGT,87612E106,P,01,LU,49154,20561,19690908,E
003814,DPL INC,AES5,23399M003,P,01,LC,22859,20549,19620131,20111125
003835,DEERE & CO,DE,244199105,C,00X,LC,19350,20566,19491101,19620130
003835,DEERE & CO,DE,244199105,P,01,LC,19350,20566,19620131,E
003841,DEL MONTE CORP-OLD,DEL.1,24599X930,C,00X,LU,11658,22294,19500301,19620130
003841,DEL MONTE CORP-OLD,DEL.1,24599X930,P,01,LU,11658,22294,19620131,19790131
003848,CONECTIV INC,POM2,206829103,J,02,LU,85904,20568,19980302,20020830
003848,CONECTIV INC,POM2,206829103,C,00X,LU,24002,20568,19510101,19620130
003848,CONECTIV INC,POM2,206829103,P,01,LU,24002,20568,19620131,20020801
003851,DELTA AIR LINES INC,DAL,247361702,P,01,LC,26112,20569,19620131,20051012
003851,DELTA AIR LINES INC,DAL,247361702,P,03,LC,91926,20569,20070503,E
003863,DELUXE CORP,DLX,248019101,P,01,LU,61743,1285,19721214,E
003869,DENNY'S INC,DEN.1,248703100,P,01,LU,42526,24619,19651005,19850131
003897,DTE ENERGY CO,DTE,233331107,P,01,LC,11674,20574,19960102,E
003905,ADTALEM GLOBAL EDUCATION INC,ATGE,00737L103,C,01,LU,76708,10992,19910621,E
003919,DIAL CORP,DFC.1,252468103,P,01,LU,47386,24937,19681223,19820831
003928,DIAMOND INTERNATIONAL CORP,DN,252669106,P,01,LU,16029,22652,19620131,19821130
003928,DIAMOND INTERNATIONAL CORP,DN,252669106,C,00X,LU,16029,22652,19500101,19620130
003930,MAXUS ENERGY CORP,MXS,577730104,C,00X,LU,24715,21171,19511130,19620130
003930,MAXUS ENERGY CORP,MXS,577730104,P,01,LU,24715,21171,19620131,19950630
003955,DIGITAL EQUIPMENT,DEC.1,253849103,P,01,LU,43916,20583,19661114,19980630
003964,DILLARDS INC  -CL A,DDS,254067101,P,01,LU,49429,20584,19691027,E
003980,DISNEY (WALT) CO,DIS,254687106,P,01,LC,26403,20587,19620131,E
004011,DR PEPPER CO-OLD,DOC.3,256129107,P,01,LU,22648,23156,19620131,19840330
004011,DR PEPPER CO-OLD,DOC.3,256129107,C,00X,LC,22648,23156,19500101,19620130
004016,DOLLAR GENERAL CORP,DG,256677105,P,02,LC,93096,53264,20091113,E
004016,DOLLAR GENERAL CORP,DG,256677105,P,01,LC,30382,1354,19721214,20070706
004021,DOME MINES LTD,DM.2,257075101,P,01,LC,11690,22298,19620131,19870731
004021,DOME MINES LTD,DM.2,257075101,C,00X,LC,11690,22298,19510101,19620130
004029,DOMINION ENERGY INC,D,25746U109,P,01,LC,64936,20592,19830602,E
004040,DONNELLEY (R R) & SONS CO,RRD,257867200,P,01,LC,38682,20594,19621207,E
004058,DOVER CORP,DOV,260003108,P,01,LC,25953,20596,19620131,E
004058,DOVER CORP,DOV,260003108,C,00X,LC,25953,20596,19600101,19620130
004060,DOWDUPONT INC,DWDP,26078J100,P,01,LC,20626,20597,19620131,E
004060,DOWDUPONT INC,DWDP,26078J100,C,00X,LC,20626,20597,19500601,19620130
004062,DOW JONES & CO INC,DJ,260561105,P,01,LU,58990,1366,19721214,20071231
004066,OMNICOM GROUP,OMC,681919106,P,01,LU,30681,1367,19721214,E
004073,DRESSER INDUSTRIES INC,DI.,261597108,P,01,LU,19254,20600,19620131,19980930
004073,DRESSER INDUSTRIES INC,DI.,261597108,C,00X,LU,19254,20600,19491101,19620130
004087,DU PONT (E I) DE NEMOURS,DD,263534109,P,01,LU,11703,20606,19620131,E
004087,DU PONT (E I) DE NEMOURS,DD,263534109,C,00X,LU,11703,20606,19500101,19620130
004093,DUKE ENERGY CORP,DUK,26441C204,P,01,LC,27959,20608,19620131,E
004094,DUN & BRADSTREET CORP,DNB,26483E100,P,01,LC,48506,20610,19690612,20001002
004094,DUN & BRADSTREET CORP,DNB,26483E100,P,01,LC,88590,39133,20001003,E
004103,DUQUESNE LIGHT HOLDINGS INC,DQE,266233105,P,01,LC,25072,20612,19620131,20070531
004103,DUQUESNE LIGHT HOLDINGS INC,DQE,266233105,C,00X,LC,25072,20612,19530518,19620130
004108,FLOWSERVE CORP,FLS,34354P105,P,01,LU,30940,1425,19721214,E
004145,PERKINELMER INC,PKI,714046109,P,01,LU,42200,20616,19650706,E
004154,E S B INC,ESB.,268841103,C,00X,LU,11746,22301,19500101,19620130
004154,E S B INC,ESB.,268841103,P,01,LU,11746,22301,19620131,19740830
004159,E-SYSTEMS INC,ESY.1,269157301,P,01,LU,43342,20620,19660613,19950531
004183,EASTERN AIR LINES,QCTA1,276191004,P,01,LU,20976,23039,19640131,19861125
004183,EASTERN AIR LINES,QCTA1,276191004,C,00X,LU,20976,23039,19500101,19640130
004189,EASTERN ENTERPRISES,EFU.1,27637F100,C,01,LU,26075,20623,19620131,20001108
004194,EASTMAN KODAK CO,KODK,277461406,P,02,LC,14276,20626,20131101,E
004194,EASTMAN KODAK CO,KODK,277461406,P,01,LC,11754,20626,19620131,20120118
004194,EASTMAN KODAK CO,KODK,277461406,C,00X,LC,11754,20626,19500101,19620130
004204,ECHLIN INC,ECH.1,278749106,P,01,LU,31536,20628,19620702,19980731
004205,ECHO BAY MINES LTD,ECO.2,278751102,P,01,LU,65568,20629,19831011,20030228
004207,ECKERD CORP,ECK.1,278763107,C,02,LC,79541,24438,19930806,19970227
004207,ECKERD CORP,ECK.1,278763107,C,02,LC,40141,24438,19640123,19860430
004213,ECOLAB INC,ECL,278865100,P,01,LU,70578,1467,19721214,E
004240,EL PASO CO,ELG.2,283362101,P,01,LC,20239,22983,19640131,19831213
004240,EL PASO CO,ELG.2,283362101,C,00X,LC,20239,22983,19640101,19640130
004242,EL PASO CORP,EP,28336L109,C,01,LC,77481,22983,19920313,20120531
004321,EMERSON ELECTRIC CO,EMR,291011104,P,01,LC,22103,20643,19620131,E
004321,EMERSON ELECTRIC CO,EMR,291011104,C,00X,LC,22103,20643,19491001,19620130
004323,EMERY AIR FREIGHT CORP,EAF,291101103,P,01,LU,31659,23794,19620702,19890428
004367,WEATHERFORD INTL PLC,WFT,G48833100,C,00X,LC,32791,1543,19770101,19790130
004367,WEATHERFORD INTL PLC,WFT,G48833100,P,01,LC,32791,1543,19790131,E
004371,ENGELHARD CORP,EC.2,292845104,P,01,LC,62834,20651,19810527,20060630
004393,TXU GAS CO,TXU2,873170005,P,01,LU,25056,20655,19620131,19970805
004393,TXU GAS CO,TXU2,873170005,C,00X,LU,25056,20655,19530430,19620130
004417,ENVIROTECH CORP,EVT.1,294098108,P,01,LU,55386,25435,19720822,19820226
004423,EQUIFAX INC,EFX,294429105,P,01,LU,52476,20659,19710511,E
004430,EQT CORP,EQT,26884L109,P,01,LC,24328,20662,19620131,E
004449,ESMARK INC-OLD,ESM.1,296470107,C,00X,LU,19713,22944,19491101,19620130
004449,ESMARK INC-OLD,ESM.1,296470107,P,01,LU,19713,22944,19620131,19840831
004458,ESSEX INTL INC,EXC.3,297020109,P,01,LU,41785,24561,19660131,19740228
004462,NEWMARKET CORP,NEU,651587107,P,01,LU,42550,20672,19651014,E
004470,EVANS PRODUCTS CO,4599B,299209106,C,01,LU,17435,22778,19640228,19851115
004470,EVANS PRODUCTS CO,4599B,299209106,C,00X,LU,17435,22778,19500101,19640227
004475,EX-CELL-O CORP,XLO,300587102,C,00X,LU,20909,23034,19491201,19620130
004475,EX-CELL-O CORP,XLO,300587102,P,01,LU,20909,23034,19620131,19861031
004494,EXPEDITORS INTL WASH INC,EXPD,302130109,P,01,LU,87717,7232,19840926,E
004503,EXXON MOBIL CORP,XOM,30231G102,P,01,LC,11850,20678,19620131,E
004503,EXXON MOBIL CORP,XOM,30231G102,C,00X,LC,11850,20678,19500101,19620130
004508,FDS HOLDING CO,FDSH,302418108,P,01,LU,80411,1680,19721214,19790228
004510,FMC CORP,FMC,302491303,C,00X,LU,19166,20681,19500101,19620130
004510,FMC CORP,FMC,302491303,P,01,LU,19166,20681,19620131,E
004512,FMI FINANCIAL CORP,FMIF,302501101,C,01,LC,50403,1777,19760729,19860829
004512,FMI FINANCIAL CORP,FMIF,302501101,C,01,LC,50403,1777,19700406,19750409
004517,NEXTERA ENERGY INC,NEE,65339F101,C,00X,LC,24205,20684,19510101,19620130
004517,NEXTERA ENERGY INC,NEE,65339F101,P,01,LC,24205,20684,19620131,E
004521,FABERGE INC,FBG.,30299Y102,P,01,LU,31763,23805,19620702,19840823
004536,FACTOR (MAX) CO-CL A,FAC.2,303045108,P,01,LU,27852,23503,19620131,19730228
004540,FAIRCHILD CAMERA &INSTRUMENT,FCI.1,303693105,P,01,LU,28169,23523,19620131,19790629
004558,FALSTAFF BREWING CORP,FALB.1,306855107,C,01,LU,23683,1625,19730131,19890531
004558,FALSTAFF BREWING CORP,FALB.1,306855107,C,00X,LC,23683,1625,19730101,19730130
004560,FAMILY DOLLAR STORES,FDO,307000109,P,01,LC,53866,20690,19720104,20150706
004595,FEDDERS CORP,FJCC,313135501,J,03,LU,80783,20693,19940912,20020328
004595,FEDDERS CORP,FJCC,313135501,P,01,LC,23552,20693,19620131,20061107
004595,FEDDERS CORP,FJCC,313135501,C,00X,LC,23552,20693,19490901,19620130
004598,FEDEX CORP,FDX,31428X106,P,01,LU,60628,1685,19780412,E
004600,FEDERAL-MOGUL HOLDINGS CORP,FDML,313549404,P,02,LC,92640,20694,20080423,E
004600,FEDERAL-MOGUL HOLDINGS CORP,FDML,313549404,P,01,LC,21338,20694,19620131,20020425
004600,FEDERAL-MOGUL HOLDINGS CORP,FDML,313549404,C,00X,LC,21338,20694,19500101,19620130
004601,FANNIE MAE,FNMA,313586109,P,01,LC,51043,20695,19700831,20100707
004603,FEDERAL PAPER BOARD CO,FBO,313693103,P,01,LU,25371,20696,19620131,19960329
004605,FEDERAL REALTY INVESTMENT TR,FRT,313747206,P,01,LU,58413,20697,19750609,E
004611,MACY'S INC,M,55616P104,C,02,LU,77462,22856,19920317,E
004611,MACY'S INC,M,55616P104,C,00X,LU,18550,22856,19500201,19620130
004611,MACY'S INC,M,55616P104,C,02,LU,18550,22856,19620131,19880728
004628,FIBREBOARD CORP -OLD,FBD.,315711101,P,01,LU,19879,22956,19620131,19780630
004628,FIBREBOARD CORP -OLD,FBD.,315711101,C,00X,LU,19879,22956,19560101,19620130
004640,FIFTH THIRD BANCORP,FITB,316773100,P,01,LU,34746,1741,19800131,E
004640,FIFTH THIRD BANCORP,FITB,316773100,C,00X,LU,34746,1741,19800101,19800130
004652,FINANCIAL CORP OF AMERICA,5930B,317421105,C,01,LU,29962,23663,19710129,19880908
004654,FINANCIAL FEDERATION,FFI.1,317495109,C,00X,LC,28177,23524,19650101,19650128
004654,FINANCIAL FEDERATION,FFI.1,317495109,P,01,LC,28177,23524,19650129,19830630
004672,FIRESTONE TIRE & RUBBER CO,FIR.1,318315108,C,00X,LU,18569,22857,19491101,19620130
004672,FIRESTONE TIRE & RUBBER CO,FIR.1,318315108,C,01,LU,18569,22857,19620131,19880531
004674,REGIONS FINANCIAL CORP,RF,7591EP100,P,01,LC,35044,1620,19721214,E
004682,U S BANCORP/DE-OLD,USB.1,902973106,P,01,LC,66157,1645,19721214,20010226
004688,FIRST CHARTER FINANCIAL,FCF.1,319441101,P,01,LU,27297,23468,19650129,19830831
004688,FIRST CHARTER FINANCIAL,FCF.1,319441101,C,00X,LC,27297,23468,19650101,19650128
004689,FIRST CHICAGO CORP,FNB.,319455101,P,01,LU,53858,20712,19711230,19951229
004699,M & T BANK CORP,MTB,55261F104,C,01,LC,35554,1689,19721214,E
004700,FIRST FIDELITY BANCORP,FFB,320195100,C,01,LC,52505,20717,19710517,19951229
004710,FIRST INTERSTATE BNCP,I.1,320548100,J,02,LC,75255,20720,19880216,19930129
004710,FIRST INTERSTATE BNCP,I.1,320548100,P,01,LC,26550,20720,19620131,19960329
004719,CHEMFIRST INC,CEM.2,16361A106,C,01,LC,84382,31848,19970107,20021106
004719,CHEMFIRST INC,CEM.2,16361A106,C,01,LU,58296,1779,19721214,19961223
004723,U S BANCORP,USB,902973304,P,01,LC,66157,1645,20010227,E
004723,U S BANCORP,USB,902973304,P,01,LC,36127,1788,19721214,20010226
004724,FIRST NATIONAL STORES INC,FST.4,335765103,P,01,LU,11949,22317,19620131,19740215
004724,FIRST NATIONAL STORES INC,FST.4,335765103,C,00X,LU,11949,22317,19500401,19620130
004732,FIRST PENNSYLVANIA CORP,FPA.,336072103,P,01,LU,53903,20722,19720110,19900330
004737,FIRST HORIZON NATIONAL CORP,FHN,320517105,C,01,LU,36397,1856,19721214,E
004739,WACHOVIA CORP,WB.3,929903102,C,01,LC,36469,1869,19721214,20081231
004764,FLEETBOSTON FINANCIAL CORP,FBF,339030108,C,01,LU,47159,20734,19681115,20040430
004768,FLEETWOOD ENTERPRISES INC,FLTWQ,339099103,P,01,LC,46295,20735,19680527,20090102
004769,FLEMING COMPANIES INC,FLMIQ,339130106,P,01,LU,47271,20736,19681206,20030401
004780,FLINTKOTE CO,FO.2,339711103,P,01,LC,20167,22979,19620131,19791231
004780,FLINTKOTE CO,FO.2,339711103,C,00X,LC,20167,22979,19500101,19620130
004790,FLORIDA EAST COAST INDS,FLA,340632108,J,02,LC,88663,20738,20001010,20030919
004790,FLORIDA EAST COAST INDS,FLA,340632108,P,01,LC,27748,20738,19680131,20070726
004790,FLORIDA EAST COAST INDS,FLA,340632108,C,00X,LC,27748,20738,19680101,19680130
004800,FLORIDA PROGRESS CORP,PGN3,341109007,P,01,LC,22496,20739,19620131,20001130
004800,FLORIDA PROGRESS CORP,PGN3,341109007,C,00X,LC,22496,20739,19510101,19620130
004818,FLUOR CORP,FLR,343412102,P,01,LC,88853,41080,20001222,E
004818,FLUOR CORP,FLR,343412102,P,01,LC,26382,20745,19651231,20001130
004818,FLUOR CORP,FLR,343412102,C,00X,LC,26382,20745,19571028,19651230
004839,FORD MOTOR CO,F,345370860,P,01,LC,25785,20750,19620131,E
004839,FORD MOTOR CO,F,345370860,C,00X,LC,25785,20750,19571231,19620130
004843,FOREST LABORATORIES  -CL A,FRX,345838106,P,01,LC,45241,20753,19671024,20140630
004850,FORT HOWARD CORP,FORT.,347461105,P,02,LC,81487,13610,19950401,19970813
004850,FORT HOWARD CORP,FORT.,347461105,C,02,LC,81487,13610,19950310,19950331
004864,FOSTER WHEELER AG,FWLT,H27178104,P,01,LC,18112,20757,20050603,20141231
004864,FOSTER WHEELER AG,FWLT,H27178104,P,01,LC,18112,20757,19620131,20030113
004885,FRANKLIN RESOURCES INC,BEN,354613101,P,01,LU,37584,6407,19830923,E
004895,FREEPORT MCMORAN INC,FTX,356714402,P,01,LU,62877,20762,19810408,19971222
004895,FREEPORT MCMORAN INC,FTX,356714402,P,01,LU,11981,22321,19620131,19810406
004895,FREEPORT MCMORAN INC,FTX,356714402,C,00X,LU,11981,22321,19501230,19620130
004920,K-H CORP,KH.1,482461100,P,01,LC,71976,25866,19870121,19891130
004920,K-H CORP,KH.1,482461100,N,03,LC,21522,23077,19861223,19861223
