gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic,co_cusip
063080,000003,20170619,,S&P 500 Comp-Ltd,I0003,ANSYS INC,ANSS,03662Q105
141384,000003,20170619,,S&P 500 Comp-Ltd,I0003,ALIGN TECHNOLOGY INC,ALGN,016255101
001976,000003,20170706,20170706,S&P 500 Comp-Ltd,I0003,BAKER HUGHES INC,BHI,057224107
032106,000003,20170707,,S&P 500 Comp-Ltd,I0003,BAKER HUGHES A GE CO,BHGE,05722G100
032154,000003,20170718,20170718,S&P 500 Comp-Ltd,I0003,JBG SMITH PPTYS,JBGS,46590V100
009771,000003,20170726,,S&P 500 Comp-Ltd,I0003,SMITH (A O) CORP,AOS,831865209
013510,000003,20170726,,S&P 500 Comp-Ltd,I0003,DUKE REALTY CORP,DRE,264411505
014418,000003,20170726,,S&P 500 Comp-Ltd,I0003,MGM RESORTS INTERNATIONAL,MGM,552953101
031887,000003,20170726,,S&P 500 Comp-Ltd,I0003,RESMED INC,RMD,761152107
128978,000003,20170726,,S&P 500 Comp-Ltd,I0003,PACKAGING CORP OF AMERICA,PKG,695156109
031774,000003,20170807,,S&P 500 Comp-Ltd,I0003,BRIGHTHOUSE FINANL INC,BHF,10922N103
017928,000003,20170829,,S&P 500 Comp-Ltd,I0003,QUINTILES IMS HOLDINGS INC,Q,74876Y101
121382,000003,20170901,,S&P 500 Comp-Ltd,I0003,SBA COMMUNICATIONS CORP,SBAC,78410G104
013421,000003,20170918,,S&P 500 Comp-Ltd,I0003,CADENCE DESIGN SYSTEMS INC,CDNS,127387108
104432,000003,20171013,,S&P 500 Comp-Ltd,I0003,NORWEGIAN CRUISE LINE HLDGS,NCLH,G66721104
